Epoch: 65799, RMSE: 0.5049371123313904, Test RMSE: 0.3105258345603943, G_loss: -6.879485607147217, D_loss: -8.352316856384277, grad_pen: 1.2328663009991008
Epoch: 65899, RMSE: 0.5135152339935303, Test RMSE: 0.3108617067337036, G_loss: -6.876932144165039, D_loss: -8.537686347961426, grad_pen: 1.219884090098651
Epoch: 65999, RMSE: 0.4472961723804474, Test RMSE: 0.3517802953720093, G_loss: -6.703680038452148, D_loss: -8.147292137145996, grad_pen: 1.3850219338252563
Epoch: 66099, RMSE: 0.44765138626098633, Test RMSE: 0.3100167214870453, G_loss: -6.638408660888672, D_loss: -8.496149063110352, grad_pen: 1.416493837957962
Epoch: 66199, RMSE: 0.43027201294898987, Test RMSE: 0.32428035140037537, G_loss: -6.494672775268555, D_loss: -8.392065048217773, grad_pen: 1.2711806925308355
Epoch: 66299, RMSE: 0.3746059238910675, Test RMSE: 0.33937039971351624, G_loss: -7.318719387054443, D_loss: -8.30622673034668, grad_pen: 1.0856551786380308
Epoch: 66399, RMSE: 0.4378616511821747, Test RMSE: 0.3171740770339966, G_loss: -6.3083271980285645, D_loss: -8.571969985961914, grad_pen: 1.4176922324661947
Epoch: 66499, RMSE: 0.45898398756980896, Test RMSE: 0.35303691029548645, G_loss: -5.886885643005371, D_loss: -7.4074907302856445, grad_pen: 1.154767275137377
Epoch: 66599, RMSE: 0.476591020822525, Test RMSE: 0.3189280033111572, G_loss: -3.7688651084899902, D_loss: -8.09726333618164, grad_pen: 1.311883239471511
Epoch: 66699, RMSE: 0.4068627953529358, Test RMSE: 0.3336579501628876, G_loss: -5.848267555236816, D_loss: -7.652519702911377, grad_pen: 1.093308114502998
Epoch: 66799, RMSE: 0.44819027185440063, Test RMSE: 0.33012980222702026, G_loss: -6.831555366516113, D_loss: -7.904631614685059, grad_pen: 1.3892574819589312
Epoch: 66899, RMSE: 0.36449524760246277, Test RMSE: 0.32543379068374634, G_loss: -6.176352024078369, D_loss: -7.57866907119751, grad_pen: 0.9539330755325687
Epoch: 66999, RMSE: 0.4327959418296814, Test RMSE: 0.318848192691803, G_loss: -7.070461273193359, D_loss: -8.417279243469238, grad_pen: 1.1951628035003046
Epoch: 67099, RMSE: 0.4900628924369812, Test RMSE: 0.3116558790206909, G_loss: -6.334187030792236, D_loss: -8.390371322631836, grad_pen: 1.2545487940665705
Epoch: 67199, RMSE: 0.44730058312416077, Test RMSE: 0.33337536454200745, G_loss: -6.027461051940918, D_loss: -8.37155532836914, grad_pen: 1.2015531474211452
