Epoch: 7199, RMSE: 77.00826263427734, Test RMSE: 77.30470275878906, G_loss: 397179.75, D_loss: -175384.953125, grad_pen: 202486.2580537514
Epoch: 7299, RMSE: 50.84963607788086, Test RMSE: 48.329105377197266, G_loss: 316292.53125, D_loss: -135362.46875, grad_pen: 192921.13144183983
Epoch: 7399, RMSE: 325.65203857421875, Test RMSE: 322.5553283691406, G_loss: 9639634.0, D_loss: -4514092.0, grad_pen: 4460076.153435994
Epoch: 7499, RMSE: 46.548439025878906, Test RMSE: 39.51291275024414, G_loss: 117912.609375, D_loss: -41233.08984375, grad_pen: 61317.067165393106
Epoch: 7599, RMSE: 31.588991165161133, Test RMSE: 29.794836044311523, G_loss: 138765.546875, D_loss: -64992.31640625, grad_pen: 55171.14471750568
Epoch: 7699, RMSE: 30.769826889038086, Test RMSE: 34.54901885986328, G_loss: 107526.0703125, D_loss: -1225.3125, grad_pen: 166893.09948635328
Epoch: 7799, RMSE: 34.757110595703125, Test RMSE: 37.673545837402344, G_loss: 192156.84375, D_loss: -76463.75, grad_pen: 89768.82617981415
Epoch: 7899, RMSE: 82.61566162109375, Test RMSE: 81.12506866455078, G_loss: 625494.3125, D_loss: -336222.1875, grad_pen: 290980.61481699673
Epoch: 7999, RMSE: 153.8739776611328, Test RMSE: 152.55191040039062, G_loss: 3873368.75, D_loss: -1617368.125, grad_pen: 1878397.9092365957
Epoch: 8099, RMSE: 19.202850341796875, Test RMSE: 16.849742889404297, G_loss: 29819.4765625, D_loss: -14529.4794921875, grad_pen: 16253.77084520058
Epoch: 8199, RMSE: 9.05905532836914, Test RMSE: 7.506984710693359, G_loss: 8749.978515625, D_loss: -4136.2421875, grad_pen: 3510.718037788074
Epoch: 8299, RMSE: 7.8013458251953125, Test RMSE: 5.306667327880859, G_loss: 6731.212890625, D_loss: -2943.5517578125, grad_pen: 4327.700933076076
Epoch: 8399, RMSE: 2451.776123046875, Test RMSE: 2343.24462890625, G_loss: 419843072.0, D_loss: -146896640.0, grad_pen: 267527873.0403891
Epoch: 8499, RMSE: 594.6832885742188, Test RMSE: 605.3727416992188, G_loss: 55521104.0, D_loss: -19782220.0, grad_pen: 35498966.29648192
Epoch: 8599, RMSE: 247.95443725585938, Test RMSE: 237.96092224121094, G_loss: 8513170.0, D_loss: -1705374.5, grad_pen: 7004701.582786834
Epoch: 8699, RMSE: 146.26242065429688, Test RMSE: 101.39411926269531, G_loss: 2087623.75, D_loss: -758859.625, grad_pen: 1278242.9123839822
Epoch: 8799, RMSE: 92.52178955078125, Test RMSE: 54.86307144165039, G_loss: 764213.5, D_loss: 72356.0, grad_pen: 826992.9100641012
Epoch: 8899, RMSE: 55.431358337402344, Test RMSE: 46.77076721191406, G_loss: 700713.6875, D_loss: -262847.0, grad_pen: 404496.79901773133
Epoch: 8999, RMSE: 79.16307830810547, Test RMSE: 36.97180938720703, G_loss: 622263.375, D_loss: -255724.03125, grad_pen: 266553.8044892722
Epoch: 9099, RMSE: 83.49725341796875, Test RMSE: 60.77033996582031, G_loss: 543536.125, D_loss: -151632.25, grad_pen: 108133.16843797483
Epoch: 9199, RMSE: 57.0347785949707, Test RMSE: 51.34482955932617, G_loss: 373301.625, D_loss: -187092.5, grad_pen: 218338.8807810584
Epoch: 9299, RMSE: 43.615997314453125, Test RMSE: 33.27170181274414, G_loss: 252677.9375, D_loss: -119379.2109375, grad_pen: 106800.474669815
Epoch: 9399, RMSE: 29.024328231811523, Test RMSE: 27.93500328063965, G_loss: 164656.625, D_loss: -82956.3046875, grad_pen: 90839.33296958357
Epoch: 9499, RMSE: 34.679771423339844, Test RMSE: 32.98961639404297, G_loss: 129546.5546875, D_loss: -67939.0625, grad_pen: 55595.76586802486
Epoch: 9599, RMSE: 44.13923645019531, Test RMSE: 43.998619079589844, G_loss: 244851.390625, D_loss: -115960.5078125, grad_pen: 107199.52253529843
Epoch: 9699, RMSE: 83.51011657714844, Test RMSE: 86.60198974609375, G_loss: 1088661.625, D_loss: -467114.25, grad_pen: 529235.4961491228
Epoch: 9799, RMSE: 25.120418548583984, Test RMSE: 22.8499698638916, G_loss: 109916.359375, D_loss: -50210.4765625, grad_pen: 70500.98149601836
Epoch: 9899, RMSE: 16.489280700683594, Test RMSE: 19.046039581298828, G_loss: 50384.921875, D_loss: -24608.689453125, grad_pen: 23063.954525267014
Epoch: 9999, RMSE: 11.955526351928711, Test RMSE: 14.251697540283203, G_loss: 42887.8671875, D_loss: -21479.0703125, grad_pen: 18743.778223900026
Epoch: 10099, RMSE: 29.468969345092773, Test RMSE: 26.533876419067383, G_loss: 134684.78125, D_loss: -55848.390625, grad_pen: 54064.3585443263
Epoch: 10199, RMSE: 9.733534812927246, Test RMSE: 10.392909049987793, G_loss: 17195.78515625, D_loss: -7960.39599609375, grad_pen: 6501.290747902641
Epoch: 10299, RMSE: 8.834410667419434, Test RMSE: 6.0539703369140625, G_loss: 9723.3330078125, D_loss: -4822.74072265625, grad_pen: 4541.032784018417
Epoch: 10399, RMSE: 533.2924194335938, Test RMSE: 538.0328979492188, G_loss: 17197482.0, D_loss: -8632824.0, grad_pen: 4166632.016338772
Epoch: 10499, RMSE: 32.303775787353516, Test RMSE: 32.031532287597656, G_loss: 48693.9375, D_loss: 46052.203125, grad_pen: 94951.14798248545
Epoch: 10599, RMSE: 14.575202941894531, Test RMSE: 13.767426490783691, G_loss: 23310.3203125, D_loss: 4955.3984375, grad_pen: 28184.678431505527
Epoch: 10699, RMSE: 7.936223983764648, Test RMSE: 7.065764427185059, G_loss: 12401.658203125, D_loss: 8544.03515625, grad_pen: 14797.566599197446
Epoch: 10799, RMSE: 7.491032600402832, Test RMSE: 5.6017632484436035, G_loss: 10909.7744140625, D_loss: -4427.197265625, grad_pen: 3794.9592850627546
Epoch: 10899, RMSE: 6.19057559967041, Test RMSE: 4.523599624633789, G_loss: 7308.525390625, D_loss: -3154.87939453125, grad_pen: 3227.8715027124726
Epoch: 10999, RMSE: 5.0553412437438965, Test RMSE: 4.4288105964660645, G_loss: 5183.60791015625, D_loss: -2091.36279296875, grad_pen: 3099.713307644961
Epoch: 11099, RMSE: 15.836437225341797, Test RMSE: 16.42753028869629, G_loss: 44596.375, D_loss: -23376.248046875, grad_pen: 19382.130629790376
Epoch: 11199, RMSE: 4.472625255584717, Test RMSE: 3.4299838542938232, G_loss: 2466.4931640625, D_loss: -1237.0120849609375, grad_pen: 988.5267311475311
Epoch: 11299, RMSE: 2233.547119140625, Test RMSE: 2222.876953125, G_loss: 90404408.0, D_loss: -51548636.0, grad_pen: 42518988.90425018
Epoch: 11399, RMSE: 368.07562255859375, Test RMSE: 364.7662048339844, G_loss: 4237897.5, D_loss: 493651.5, grad_pen: 4807601.657986848
Epoch: 11499, RMSE: 78.884521484375, Test RMSE: 77.51447296142578, G_loss: 269450.65625, D_loss: 336531.3125, grad_pen: 583002.5323872523
Epoch: 11599, RMSE: 50.59998321533203, Test RMSE: 43.49589157104492, G_loss: 78856.0390625, D_loss: 85722.0, grad_pen: 176229.32018506736
Epoch: 11699, RMSE: 42.81471252441406, Test RMSE: 44.518707275390625, G_loss: 163433.6875, D_loss: -52086.8125, grad_pen: 117690.85743149818
Epoch: 11799, RMSE: 45.48733901977539, Test RMSE: 36.990745544433594, G_loss: 465524.34375, D_loss: -161306.765625, grad_pen: 252724.70791571622
Epoch: 11899, RMSE: 89.88489532470703, Test RMSE: 92.22245788574219, G_loss: 937184.0, D_loss: -389501.0625, grad_pen: 547250.4154262717
Epoch: 11999, RMSE: 110.3087387084961, Test RMSE: 112.1272964477539, G_loss: 1670585.125, D_loss: -810332.3125, grad_pen: 853629.310074836
Epoch: 12099, RMSE: 126.12105560302734, Test RMSE: 122.98802947998047, G_loss: 1927775.25, D_loss: -843519.125, grad_pen: 1163799.699502745
Epoch: 12199, RMSE: 30.98212242126465, Test RMSE: 30.53285789489746, G_loss: 136783.5625, D_loss: -62352.3359375, grad_pen: 57852.54581384295
Epoch: 12299, RMSE: 25.109119415283203, Test RMSE: 27.534517288208008, G_loss: 62135.91796875, D_loss: -29103.24609375, grad_pen: 34884.65963507327
Epoch: 12399, RMSE: 121.80876159667969, Test RMSE: 124.11996459960938, G_loss: 1069965.5, D_loss: -533687.3125, grad_pen: 457337.8244223441
Epoch: 12499, RMSE: 13.678443908691406, Test RMSE: 13.475850105285645, G_loss: 12127.25390625, D_loss: -876.6513671875, grad_pen: 10753.523935544554
Epoch: 12599, RMSE: 8.62999153137207, Test RMSE: 6.7417378425598145, G_loss: 9214.236328125, D_loss: -2634.50634765625, grad_pen: 4930.364158877614
Epoch: 12699, RMSE: 6.397900581359863, Test RMSE: 4.8907294273376465, G_loss: 7871.9873046875, D_loss: -3778.86328125, grad_pen: 3491.6923612314963
Epoch: 12799, RMSE: 6.566342830657959, Test RMSE: 4.700710773468018, G_loss: -345.1441650390625, D_loss: -475.6875, grad_pen: 7521.753019890502
Epoch: 12899, RMSE: 7.203491687774658, Test RMSE: 4.781119346618652, G_loss: 3889.54052734375, D_loss: -2143.533203125, grad_pen: 2008.6053019854544
Epoch: 12999, RMSE: 14.284859657287598, Test RMSE: 13.48631763458252, G_loss: 22668.966796875, D_loss: -7256.5107421875, grad_pen: 9047.35475457674
Epoch: 13099, RMSE: 13.66877555847168, Test RMSE: 13.352575302124023, G_loss: 36808.9375, D_loss: -16029.673828125, grad_pen: 14342.804832544283
Epoch: 13199, RMSE: 1.8932615518569946, Test RMSE: 1.7440426349639893, G_loss: 503.9693908691406, D_loss: -258.394775390625, grad_pen: 195.66553564867894
Epoch: 13299, RMSE: 1.7549355030059814, Test RMSE: 1.5733401775360107, G_loss: 492.15777587890625, D_loss: -266.50164794921875, grad_pen: 124.24125291457189
Epoch: 13399, RMSE: 1.8331530094146729, Test RMSE: 1.4780560731887817, G_loss: 351.09466552734375, D_loss: -216.05250549316406, grad_pen: 251.362019713432
Epoch: 13499, RMSE: 1.4289159774780273, Test RMSE: 1.4550248384475708, G_loss: 329.567626953125, D_loss: -203.9777374267578, grad_pen: 163.77269254463937
Epoch: 13599, RMSE: 1.4132776260375977, Test RMSE: 1.302316665649414, G_loss: 39.820228576660156, D_loss: -158.01593017578125, grad_pen: 175.33175876193044
Epoch: 13699, RMSE: 2.7742326259613037, Test RMSE: 2.6050102710723877, G_loss: 1673.90185546875, D_loss: -788.060546875, grad_pen: 762.5532478946672
Epoch: 13799, RMSE: 1.1256521940231323, Test RMSE: 1.163407325744629, G_loss: 111.76248168945312, D_loss: -123.92681121826172, grad_pen: 72.04602810492295
Epoch: 13899, RMSE: 1.1424535512924194, Test RMSE: 1.164749026298523, G_loss: 120.90989685058594, D_loss: -125.93697357177734, grad_pen: 72.07703452996714
