datetime,energy,temp,feelslike,dew,humidity,response
2023-01-10T03:00:00,19.2,25.7,25.7,24.1,90.53,2
2023-01-10T04:00:00,20.5,25,25,24,94.14,2
2023-01-10T05:00:00,19.8,24.8,24.8,24,95.44,2
2023-01-10T06:00:00,20.4,24.7,24.7,23.8,94.47,2
2023-01-10T07:00:00,32.5,24.8,24.8,23.9,94.8,2
2023-01-10T08:00:00,85,25.1,25.1,24.1,94.17,2
2023-01-10T09:00:00,141.6,26.3,26.3,24.8,91.39,1
2023-01-10T10:00:00,155.2,27,30.6,25,88.79,1
2023-01-10T11:00:00,147,28.7,33.8,24.7,79.02,1
2023-01-10T12:00:00,133.1,29.8,35.6,24.8,74.67,1
2023-01-10T13:00:00,115.2,27.1,30.3,24.2,84.28,1
2023-01-10T14:00:00,129.3,26.1,26.1,24.7,92.33,1
2023-01-10T15:00:00,152.4,28.1,32.8,25,83.51,1
2023-01-10T16:00:00,165,30,35.1,24,70.33,1
2023-01-10T17:00:00,136.1,29.8,35.7,24.9,75.04,1
2023-01-10T18:00:00,116.9,29,33.6,24,74.42,1
2023-01-10T19:00:00,95.4,28,32,24.1,79.18,1
2023-01-10T20:00:00,59.9,26.8,29.7,24.2,85.65,1
2023-01-10T21:00:00,43.5,26.8,29.7,24.2,85.66,1
2023-01-10T22:00:00,31,26,26,24,88.74,2
2023-01-10T23:00:00,20.9,26.1,26.1,24.2,89.34,1
2023-01-11T00:00:00,22.1,26,26,24,88.76,2
2023-01-11T01:00:00,21.7,25.8,25.8,24.1,90.25,2
2023-01-11T02:00:00,20,25.7,25.7,24.1,90.56,2
2023-01-11T03:00:00,19.4,25.1,25.1,23.9,93.24,2
2023-01-11T04:00:00,17.3,25,25,24,94.19,2
2023-01-11T05:00:00,17.3,24.2,24.2,23.8,97.61,2
2023-01-11T06:00:00,15.3,24,24,24,99.94,2
2023-01-11T07:00:00,24.8,24.3,24.3,23.7,96.64,2
2023-01-11T08:00:00,65.7,24.2,24.2,23.7,97.29,2
2023-01-11T09:00:00,108,25,25,23,88.7,2
2023-01-11T10:00:00,133.9,25.7,25.7,23.2,85.89,2
2023-01-11T11:00:00,136.2,26.8,29.3,23.2,80.69,1
2023-01-11T12:00:00,147,28,31.9,24,78.96,1
2023-01-11T13:00:00,108.7,30,34.3,23.2,66.9,1
2023-01-11T14:00:00,165.5,31.2,35.9,23.2,62.57,1
2023-01-11T15:00:00,177.4,29.8,34.9,24.1,71.38,1
2023-01-11T16:00:00,183.3,30.1,35.3,24.1,70.3,1
2023-01-11T17:00:00,159.4,28.7,32.9,23.7,74.41,1
2023-01-11T18:00:00,127,28,31.3,23.1,74.56,1
2023-01-11T19:00:00,95.9,27.7,31.4,23.9,79.69,1
2023-01-11T20:00:00,73.5,26.9,29.8,23.9,83.65,1
2023-01-11T21:00:00,46.2,26.1,26.1,24.1,88.74,1
2023-01-11T22:00:00,26.9,26,26,24,88.74,2
2023-01-11T23:00:00,19.6,26,26,23.9,88.14,2
2023-01-12T00:00:00,15.7,26,26,24,88.76,2
2023-01-12T01:00:00,15.9,26,26,24,88.76,2
2023-01-12T02:00:00,17.1,25.2,25.2,24,93.22,2
2023-01-12T03:00:00,15.9,25.1,25.1,23.8,92.59,2
