Index,energy,temp,feelslike,dew,humidity,response
658,38.7,23,23,22,94.08,2
659,51.1,24.8,24.8,23,89.9,2
660,53.8,26.2,26.2,22.9,82.19,1
661,63.2,29,32.7,23,70.15,1
662,56,29,32,22,66.01,1
663,55.7,29.2,32.8,22.8,68.44,1
664,47,30,33.3,22,62.26,1
665,50.7,30,33.3,22,62.25,1
666,46.5,29,32.1,22.2,66.61,1
667,42.1,28,31.3,23,74.28,1
668,39.6,27.1,29.8,23.1,78.74,1
669,32,27,29.2,22,74.12,1
670,26.6,27,29.2,22,74.12,1
671,17.3,26.3,26.3,21.8,76.27,1
672,13.5,26.1,26.1,21.2,74.52,1
673,15.5,26,26,21.1,74.26,2
674,12.7,25.8,25.8,21.1,75.27,2
675,14.7,25.7,25.7,20.9,74.75,2
676,14,25,25,21,78.54,2
677,14.1,25,25,21,78.52,2
678,13.1,24.9,24.9,20.8,77.97,2
679,12.4,25,25,21,78.52,2
680,12.6,24.8,24.8,20.1,75.13,2
681,23,25,25,19.9,73.34,2
682,30.8,25.7,25.7,20.2,71.52,2
683,43.9,26.8,28.5,20.7,69.44,1
684,52,28.3,30.4,20.9,64.22,1
685,62.4,30,32.6,21.1,58.76,1
686,67.8,30.1,32.6,21,58.37,1
687,63.1,30,32.7,21.2,59.16,1
688,55.4,30,32.6,21.1,58.78,1
689,58.7,29.3,32.2,21.7,63.76,1
690,53.5,29.8,32.8,21.7,61.98,1
691,46.9,29,31.4,21,62.03,1
692,40.7,27.8,29.8,20.9,66.15,1
693,34.3,26.9,28.4,20.2,66.69,1
694,29.2,26.7,28.4,20.9,70.39,1
695,16.4,26.3,26.3,21,72.71,1
696,13.9,26.3,26.3,20.9,72.23,1
697,14.2,26,26,21,73.95,2
698,13.8,26,26,20.9,73.48,2
699,14.1,25.9,25.9,20.9,73.98,2
700,12.9,25.1,25.1,21.2,79.07,2
701,13.5,25,25,21,78.52,2
702,13,25.3,25.3,21.1,77.48,2
703,12.6,25,25,21,78.52,2
704,21.7,24.1,24.1,22.1,88.58,2
705,62.3,23.8,23.8,22.1,90.1,2
706,115.1,26.1,26.1,21.8,77.31,1
707,137.2,27.8,30.3,21.9,70.37,1
708,151.9,28.1,30.8,22,69.66,1
709,150.6,29.1,32.1,22,65.72,1
710,145.7,29,32.1,22.2,66.61,1
711,140.8,28.8,32.4,22.9,70.51,1
712,139.2,28.8,31.8,22.2,67.54,1
713,156,29.1,32.2,22.2,66.41,1
714,133.6,29.1,32.6,22.7,68.66,1
715,92.4,29,32,22,65.96,1
716,75.4,28,30.6,21.9,69.41,1
717,57.1,27.1,29.2,21.8,72.84,1
718,43.6,27,29.2,22,74.1,1
719,16.8,26.7,28.5,21.1,71.12,1
