Epoch: 52499, RMSE: 0.6037113070487976, Test RMSE: 0.58254075050354, G_loss: -15.891178131103516, D_loss: -24.980915069580078, grad_pen: 8.120151938483096
Epoch: 52599, RMSE: 0.6247723698616028, Test RMSE: 0.6048807501792908, G_loss: -19.009145736694336, D_loss: -25.672712326049805, grad_pen: 7.139016392840492
Epoch: 52699, RMSE: 0.5820095539093018, Test RMSE: 0.6085695028305054, G_loss: -12.698811531066895, D_loss: -25.720176696777344, grad_pen: 8.99795860839953
Epoch: 52799, RMSE: 0.6077569127082825, Test RMSE: 0.6021995544433594, G_loss: -13.352266311645508, D_loss: -25.765701293945312, grad_pen: 8.520774294399352
Epoch: 52899, RMSE: 0.5940893888473511, Test RMSE: 0.6117447018623352, G_loss: -12.76678466796875, D_loss: -26.2398738861084, grad_pen: 8.298941080170769
Epoch: 52999, RMSE: 0.5898337364196777, Test RMSE: 0.6151136755943298, G_loss: -13.29165267944336, D_loss: -25.983386993408203, grad_pen: 8.281749089737831
Epoch: 53099, RMSE: 0.597554624080658, Test RMSE: 0.5883143544197083, G_loss: -8.987676620483398, D_loss: -24.763399124145508, grad_pen: 9.702214739358144
Epoch: 53199, RMSE: 0.595737099647522, Test RMSE: 0.5964118242263794, G_loss: -10.36097526550293, D_loss: -25.221473693847656, grad_pen: 9.545241114162884
Epoch: 53299, RMSE: 0.5979896187782288, Test RMSE: 0.619118332862854, G_loss: -12.819479942321777, D_loss: -24.148204803466797, grad_pen: 7.268044588026896
Epoch: 53399, RMSE: 0.6262478232383728, Test RMSE: 0.5913543105125427, G_loss: -18.425189971923828, D_loss: -25.166072845458984, grad_pen: 8.286898185400991
Epoch: 53499, RMSE: 0.5803123712539673, Test RMSE: 0.6011530756950378, G_loss: -8.764925003051758, D_loss: -25.220863342285156, grad_pen: 9.20668773449566
Epoch: 53599, RMSE: 0.627135157585144, Test RMSE: 0.6203217506408691, G_loss: -34.861427307128906, D_loss: -23.397844314575195, grad_pen: 6.572033374394586
